@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
70,'2016/11/25 15:19:45:768',1,83,0.092388,0.111549,0.113911,0.070079,0.074803,0.027559,0.030971,0.034646,0.294434,0.941406,0.083984,0,0,0,0,0,?,?,?,?
71,'2016/11/25 15:19:45:802',1,83,0.094226,0.107612,0.114436,0.075066,0.07769,0.027822,0.031759,0.033858,0.289063,0.945313,0.091309,0,0,0,0,0,?,?,?,?
72,'2016/11/25 15:19:45:835',1,83,0.088714,0.111811,0.112861,0.074016,0.07979,0.027822,0.032021,0.033333,0.293945,0.956055,0.078613,0,0,0,0,0,?,?,?,?
73,'2016/11/25 15:19:45:868',1,83,0.088451,0.11811,0.117585,0.07874,0.081627,0.028609,0.031759,0.032283,0.286621,0.939453,0.087891,0,0,0,0,0,?,?,?,?
74,'2016/11/25 15:19:45:903',1,83,0.090814,0.122835,0.116273,0.08189,0.081102,0.030446,0.035171,0.033596,0.28418,0.935059,0.088379,0,0,0,0,0,?,?,?,?
75,'2016/11/25 15:19:45:935',1,83,0.091076,0.126772,0.119423,0.079265,0.07874,0.031759,0.035958,0.031759,0.296875,0.949219,0.085449,0,0,0,0,0,?,?,?,?
76,'2016/11/25 15:19:45:969',1,83,0.079003,0.120997,0.125984,0.078478,0.079003,0.030446,0.034908,0.029134,0.290039,0.947266,0.087402,0,0,0,0,0,?,?,?,?
77,'2016/11/25 15:19:46:016',1,83,0.07769,0.12126,0.120735,0.072703,0.076903,0.031496,0.033596,0.029921,0.29541,0.949707,0.084473,0,0,0,0,0,?,?,?,?
78,'2016/11/25 15:19:46:036',1,83,0.073753,0.129134,0.11916,0.074541,0.079003,0.032546,0.033071,0.028346,0.282715,0.934082,0.089355,0,0,0,0,0,?,?,?,?
79,'2016/11/25 15:19:46:069',1,83,0.075328,0.127559,0.118898,0.076115,0.081102,0.032021,0.032283,0.028609,0.290039,0.951172,0.083984,0,0,0,0,0,?,?,?,?
80,'2016/11/25 15:19:46:102',1,83,0.074278,0.128084,0.12021,0.079003,0.087402,0.032546,0.033596,0.027559,0.310547,0.961426,0.07373,0,0,0,0,0,?,?,?,?
81,'2016/11/25 15:19:46:135',1,83,0.068766,0.139108,0.124409,0.077428,0.087139,0.030971,0.032808,0.026772,0.289551,0.941895,0.095703,0,0,0,0,0,?,?,?,?
82,'2016/11/25 15:19:46:168',1,83,0.072441,0.143045,0.12021,0.078478,0.087926,0.031234,0.033071,0.026509,0.289063,0.953613,0.085449,0,0,0,0,0,?,?,?,?
83,'2016/11/25 15:19:46:202',1,83,0.074803,0.142257,0.114436,0.07874,0.088451,0.031759,0.032546,0.026247,0.291992,0.947266,0.086914,0,0,0,0,0,?,?,?,?
84,'2016/11/25 15:19:46:235',1,83,0.076115,0.139108,0.122835,0.081365,0.086614,0.032808,0.033071,0.025459,0.296387,0.959961,0.083008,0,0,0,0,0,?,?,?,?
85,'2016/11/25 15:19:46:268',1,83,0.073491,0.135171,0.123622,0.085564,0.095276,0.032021,0.031496,0.025197,0.289551,0.939453,0.087402,0,0,0,0,0,?,?,?,?
86,'2016/11/25 15:19:46:302',1,83,0.080052,0.138058,0.12336,0.086877,0.096063,0.032021,0.032021,0.025197,0.288574,0.952148,0.089844,0,0,0,0,0,?,?,?,?
87,'2016/11/25 15:19:46:336',1,83,0.077428,0.14147,0.12231,0.087664,0.09685,0.031496,0.031234,0.027297,0.298828,0.95166,0.086426,0,0,0,0,0,?,?,?,?
88,'2016/11/25 15:19:46:369',1,83,0.076903,0.143832,0.117585,0.087139,0.095538,0.031496,0.030971,0.028871,0.291504,0.939453,0.088867,0,0,0,0,0,?,?,?,?
89,'2016/11/25 15:19:46:402',1,83,0.080315,0.145669,0.110761,0.088189,0.096325,0.031234,0.031234,0.028346,0.288086,0.941406,0.081055,0,0,0,0,0,?,?,?,?
90,'2016/11/25 15:19:46:435',1,83,0.08084,0.143307,0.108136,0.086877,0.0979,0.030446,0.028871,0.029396,0.291992,0.952637,0.085449,0,0,0,0,0,?,?,?,?
91,'2016/11/25 15:19:46:468',1,83,0.081102,0.145144,0.101837,0.083465,0.098688,0.029921,0.028346,0.028871,0.300781,0.938965,0.085938,0,0,0,0,0,?,?,?,?
92,'2016/11/25 15:19:46:502',1,83,0.083727,0.138583,0.099475,0.078215,0.092913,0.030184,0.029134,0.027297,0.291992,0.942383,0.09082,0,0,0,0,0,?,?,?,?
93,'2016/11/25 15:19:46:536',1,83,0.083989,0.136483,0.104462,0.078215,0.093701,0.030971,0.029134,0.025459,0.292969,0.952637,0.082031,0,0,0,0,0,?,?,?,?
94,'2016/11/25 15:19:46:568',1,83,0.084514,0.132021,0.10315,0.08294,0.092651,0.031759,0.029134,0.025984,0.298828,0.95459,0.089355,0,0,0,0,0,?,?,?,?
95,'2016/11/25 15:19:46:602',1,83,0.094751,0.128346,0.111549,0.085302,0.092651,0.032283,0.027559,0.026772,0.291504,0.937988,0.089355,0,0,0,0,0,?,?,?,?
96,'2016/11/25 15:19:46:636',1,83,0.098688,0.124672,0.115223,0.084252,0.091339,0.031759,0.026509,0.028084,0.302734,0.947754,0.081543,0,0,0,0,0,?,?,?,?
97,'2016/11/25 15:19:46:669',1,83,0.098163,0.129134,0.114436,0.086352,0.088714,0.033596,0.026509,0.027034,0.294434,0.943848,0.08252,0,0,0,0,0,?,?,?,?
98,'2016/11/25 15:19:46:702',1,83,0.098688,0.128871,0.114698,0.08294,0.092126,0.032283,0.021785,0.027559,0.291992,0.952148,0.089355,0,0,0,0,0,?,?,?,?
99,'2016/11/25 15:19:46:736',1,83,0.093963,0.129396,0.110499,0.087664,0.093176,0.032021,0.02126,0.027034,0.290039,0.944824,0.086914,0,0,0,0,0,?,?,?,?
100,'2016/11/25 15:19:46:768',1,83,0.095538,0.125197,0.109711,0.085564,0.086877,0.032283,0.02126,0.027034,0.291504,0.946777,0.084473,0,0,0,0,0,?,?,?,?
101,'2016/11/25 15:19:46:802',1,83,0.095013,0.124672,0.11916,0.08084,0.082152,0.034121,0.022047,0.028346,0.292969,0.945313,0.087891,0,0,0,0,0,?,?,?,?
102,'2016/11/25 15:19:46:835',1,83,0.0979,0.120997,0.127559,0.08084,0.08294,0.034383,0.021785,0.030709,0.291992,0.944336,0.091309,0,0,0,0,0,?,?,?,?
103,'2016/11/25 15:19:46:868',1,83,0.097113,0.117323,0.128871,0.077428,0.081365,0.032808,0.02231,0.031234,0.29248,0.949219,0.08252,0,0,0,0,0,?,?,?,?
